time rula_score rula_base_score rula_confidence neck_score neck_base_score neck_confidence neck_angle trunk_score trunk_base_score trunk_confidence trunk_angle legs_score legs_base_score legs_confidence legs_angle upper_arm_left_score upper_arm_left_base_score upper_arm_left_confidence upper_arm_left_angle upper_arm_right_score upper_arm_right_base_score upper_arm_right_confidence upper_arm_right_angle lower_arm_left_score lower_arm_left_base_score lower_arm_left_confidence lower_arm_left_angle lower_arm_right_score lower_arm_right_base_score lower_arm_right_confidence lower_arm_right_angle wrist_left_score wrist_left_base_score wrist_left_confidence wrist_left_angle wrist_right_score wrist_right_base_score wrist_right_confidence wrist_right_angle
1643632900.65383005 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 9.00000000 0.43750000 1.00000000 0.43750000 31.00000000 2.00000000 2.00000000 1.00000000 25.00000000 2.00000000 2.00000000 1.00000000 21.00000000 1.00000000 1.00000000 1.00000000 92.00000000 2.00000000 2.00000000 1.00000000 102.00000000 2.00000000 2.00000000 1.00000000 64.00000000 2.00000000 2.00000000 1.00000000 29.00000000
1643632900.72051501 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 11.00000000 2.00000000 2.00000000 1.00000000 8.00000000 0.43750000 1.00000000 0.43750000 29.00000000 2.00000000 2.00000000 1.00000000 23.00000000 2.00000000 2.00000000 1.00000000 27.00000000 1.00000000 1.00000000 1.00000000 94.00000000 2.00000000 2.00000000 1.00000000 103.00000000 2.00000000 2.00000000 1.00000000 57.00000000 2.00000000 2.00000000 1.00000000 27.00000000
1643632900.78717828 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 12.00000000 2.00000000 2.00000000 1.00000000 6.00000000 0.43750000 1.00000000 0.43750000 28.00000000 2.00000000 2.00000000 1.00000000 26.00000000 2.00000000 2.00000000 1.00000000 33.00000000 1.00000000 1.00000000 1.00000000 96.00000000 2.00000000 2.00000000 1.00000000 104.00000000 2.00000000 2.00000000 1.00000000 50.00000000 2.00000000 2.00000000 1.00000000 29.00000000
1643632900.85388708 3.00000000 3.00000000 0.89583333 2.81250000 3.00000000 0.93750000 12.00000000 2.00000000 2.00000000 1.00000000 5.00000000 0.43750000 1.00000000 0.43750000 25.00000000 2.00000000 2.00000000 1.00000000 28.00000000 2.00000000 2.00000000 1.00000000 38.00000000 1.00000000 1.00000000 1.00000000 97.00000000 2.00000000 2.00000000 1.00000000 107.00000000 2.00000000 2.00000000 1.00000000 40.00000000 2.00000000 2.00000000 1.00000000 25.00000000
1643632900.92057896 3.00000000 3.00000000 0.83984375 3.00000000 3.00000000 1.00000000 12.00000000 2.00000000 2.00000000 1.00000000 5.00000000 0.43750000 1.00000000 0.43750000 24.00000000 2.00000000 2.00000000 1.00000000 27.00000000 2.00000000 2.00000000 1.00000000 41.00000000 1.00000000 1.00000000 1.00000000 97.00000000 1.62500000 2.00000000 0.76562500 106.00000000 2.00000000 2.00000000 1.00000000 32.00000000 0.43750000 1.00000000 0.43750000 19.00000000
1643632900.98726654 3.00000000 3.00000000 0.83984375 3.00000000 3.00000000 1.00000000 13.00000000 2.00000000 2.00000000 1.00000000 4.00000000 0.43750000 1.00000000 0.43750000 22.00000000 2.00000000 2.00000000 1.00000000 27.00000000 2.00000000 2.00000000 1.00000000 44.00000000 1.00000000 1.00000000 1.00000000 96.00000000 1.62500000 2.00000000 0.76562500 103.00000000 2.00000000 2.00000000 1.00000000 31.00000000 0.43750000 1.00000000 0.43750000 21.00000000
1643632901.05394936 3.00000000 3.00000000 0.89062500 3.00000000 3.00000000 1.00000000 14.00000000 2.00000000 2.00000000 1.00000000 4.00000000 0.43750000 1.00000000 0.43750000 21.00000000 2.00000000 2.00000000 1.00000000 27.00000000 3.00000000 3.00000000 1.00000000 46.00000000 1.00000000 1.00000000 1.00000000 96.00000000 1.00000000 1.00000000 1.00000000 99.00000000 2.00000000 2.00000000 1.00000000 34.00000000 1.62500000 2.00000000 0.81250000 28.00000000
1643632901.12062860 3.00000000 3.00000000 0.82942708 2.81250000 3.00000000 0.93750000 14.00000000 2.00000000 2.00000000 1.00000000 8.00000000 0.43750000 1.00000000 0.43750000 20.00000000 2.00000000 2.00000000 1.00000000 25.00000000 3.00000000 3.00000000 1.00000000 51.00000000 1.00000000 1.00000000 1.00000000 94.00000000 0.81250000 1.00000000 0.76562500 97.00000000 2.00000000 2.00000000 1.00000000 37.00000000 0.87500000 2.00000000 0.43750000 33.00000000
1643632901.18730712 3.00000000 3.00000000 0.82942708 2.81250000 3.00000000 0.93750000 13.00000000 2.00000000 2.00000000 1.00000000 9.00000000 0.43750000 1.00000000 0.43750000 19.00000000 2.00000000 2.00000000 1.00000000 25.00000000 4.00000000 4.00000000 1.00000000 53.00000000 1.00000000 1.00000000 1.00000000 93.00000000 0.81250000 1.00000000 0.76562500 95.00000000 2.00000000 2.00000000 1.00000000 39.00000000 0.87500000 2.00000000 0.43750000 38.00000000
1643632901.25399041 3.00000000 3.00000000 0.89062500 3.00000000 3.00000000 1.00000000 12.00000000 2.00000000 2.00000000 1.00000000 9.00000000 0.43750000 1.00000000 0.43750000 19.00000000 2.00000000 2.00000000 1.00000000 26.00000000 4.00000000 4.00000000 1.00000000 55.00000000 1.00000000 1.00000000 1.00000000 92.00000000 1.00000000 1.00000000 1.00000000 92.00000000 2.00000000 2.00000000 1.00000000 40.00000000 1.62500000 2.00000000 0.81250000 43.00000000
